middleware,network_condition,message_size_kb,latency_ms,jitter_ms,packet_loss_percent,throughput_mbps,cpu_usage_percent
FastDDS,LAN,1,3.756,0.4,0.011,80.16,20.18
FastDDS,LAN,1,3.788,0.276,0.062,92.13,29.55
FastDDS,LAN,1,2.446,0.379,0.014,78.72,23.51
FastDDS,LAN,1,2.295,0.254,0.013,86.94,29.58
FastDDS,LAN,1,2.249,0.5,0.067,90.4,23.07
FastDDS,LAN,1,2.866,0.44,0.084,96.88,19.52
FastDDS,LAN,1,3.097,0.565,0.057,82.35,24.95
FastDDS,LAN,1,2.375,0.359,0.046,91.4,20.19
FastDDS,LAN,1,3.055,0.612,0.0,78.76,23.95
FastDDS,LAN,1,1.87,0.634,0.051,78.23,24.08
FastDDS,LAN,1,2.612,0.473,0.004,90.29,20.21
FastDDS,LAN,1,1.811,0.37,0.0,93.68,25.99
FastDDS,LAN,1,3.548,0.446,0.006,100.51,23.41
FastDDS,LAN,1,3.28,0.47,0.043,79.8,26.97
FastDDS,LAN,1,3.175,0.03,0.032,77.13,25.19
FastDDS,LAN,1,2.681,0.239,0.035,93.75,33.14
FastDDS,LAN,1,2.184,0.515,0.015,86.4,23.79
FastDDS,LAN,1,2.218,0.271,0.012,79.62,26.87
FastDDS,LAN,1,3.104,0.287,0.035,93.07,26.77
FastDDS,LAN,1,4.45,0.383,0.088,83.56,29.97
FastDDS,LAN,1,3.437,0.43,0.017,90.78,27.9
FastDDS,LAN,1,3.432,0.478,0.026,93.44,27.71
FastDDS,LAN,1,2.921,0.349,0.015,94.0,24.09
FastDDS,LAN,1,3.463,0.49,0.038,95.14,27.13
FastDDS,LAN,1,3.037,0.544,0.0,83.61,26.19
FastDDS,LAN,1,2.66,0.184,0.063,90.61,28.04
FastDDS,LAN,1,2.991,0.475,0.047,87.99,22.37
FastDDS,LAN,1,3.755,0.291,0.081,91.93,21.48
FastDDS,LAN,1,3.412,0.342,0.008,79.61,26.22
FastDDS,LAN,1,3.177,0.442,0.024,82.79,27.02
FastDDS,LAN,1,3.786,0.382,0.016,85.43,26.92
